environment,algo1,algo2,stat,p_value,is_significant
inverted_double_pendulum,MAPLE,LGP,20.0,0.02269834531737589,False
inverted_double_pendulum,MAPLE,TPG,77.5,0.03201222096187686,False
inverted_double_pendulum,MAPLE,MATPG,55.0,0.6961318283165059,False
inverted_double_pendulum,MAPLE,PPO,97.0,0.00032878889725632094,True
inverted_double_pendulum,MAPLE,SAC,100.0,0.00013172960306213278,True
half_cheetah,MAPLE,LGP,0.0,0.00018267179110955002,True
half_cheetah,MAPLE,TPG,75.0,0.06402210128302689,False
half_cheetah,MAPLE,MATPG,33.0,0.21229383619233155,False
half_cheetah,MAPLE,PPO,90.0,0.0028272720911168077,True
half_cheetah,MAPLE,SAC,30.0,0.14046504815835495,False
walker2d,MAPLE,LGP,100.0,0.00018267179110955002,True
walker2d,MAPLE,TPG,91.0,0.0022022199424970783,True
walker2d,MAPLE,MATPG,47.0,0.8501067391385259,False
walker2d,MAPLE,PPO,35.0,0.27303633975118835,False
walker2d,MAPLE,SAC,32.0,0.18587673236587576,False
hopper,MAPLE,LGP,100.0,0.00018267179110955002,True
hopper,MAPLE,TPG,96.0,0.0005828399431792743,True
hopper,MAPLE,MATPG,40.0,0.47267559351158717,False
hopper,MAPLE,PPO,97.0,0.00043963875262656454,True
hopper,MAPLE,SAC,73.0,0.08897301170181328,False
ant,MAPLE,LGP,100.0,0.00018267179110955002,True
ant,MAPLE,TPG,93.0,0.0013149446697132139,True
ant,MAPLE,MATPG,56.0,0.6775849579524755,False
ant,MAPLE,PPO,0.0,0.00018267179110955002,True
ant,MAPLE,SAC,5.0,0.0007685389131627665,True
humanoid,MAPLE,TPG,90.0,0.0028272720911168077,True
humanoid,MAPLE,MATPG,59.0,0.5205228832757727,False
humanoid,MAPLE,PPO,82.0,0.017257456083119765,False
humanoid,MAPLE,SAC,0.0,0.00018267179110955002,True
