environment,algo1,algo2,stat,p_value,is_significant
inverted_double_pendulum,MATPG,LGP,20.0,0.0235556726630649,False
inverted_double_pendulum,MATPG,TPG,80.0,0.019792190288254706,False
inverted_double_pendulum,MATPG,MAPLE,45.0,0.6961318283165059,False
inverted_double_pendulum,MATPG,PPO,100.0,0.00014503596230726318,True
inverted_double_pendulum,MATPG,SAC,100.0,0.00014503596230726318,True
half_cheetah,MATPG,LGP,0.0,0.00018267179110955002,True
half_cheetah,MATPG,TPG,85.0,0.009108496398030965,False
half_cheetah,MATPG,MAPLE,67.0,0.21229383619233155,False
half_cheetah,MATPG,PPO,92.0,0.0017062493689195964,True
half_cheetah,MATPG,SAC,30.0,0.14046504815835495,False
walker2d,MATPG,LGP,100.0,0.00018267179110955002,True
walker2d,MATPG,TPG,89.0,0.0036105143123296027,True
walker2d,MATPG,MAPLE,53.0,0.8501067391385259,False
walker2d,MATPG,PPO,34.0,0.24132159301718004,False
walker2d,MATPG,SAC,31.0,0.16197241048012612,False
hopper,MATPG,LGP,100.0,0.00018267179110955002,True
hopper,MATPG,TPG,99.0,0.00024612812790522973,True
hopper,MATPG,MAPLE,60.0,0.47267559351158717,False
hopper,MATPG,PPO,99.0,0.00024612812790522973,True
hopper,MATPG,SAC,78.0,0.03763531378731424,False
ant,MATPG,LGP,100.0,0.00018267179110955002,True
ant,MATPG,TPG,98.0,0.00032983852077799353,True
ant,MATPG,MAPLE,44.0,0.6775849579524755,False
ant,MATPG,PPO,0.0,0.00018267179110955002,True
ant,MATPG,SAC,2.0,0.00032983852077799353,True
humanoid,MATPG,TPG,86.0,0.00728455700947966,False
humanoid,MATPG,MAPLE,41.0,0.5205228832757727,False
humanoid,MATPG,PPO,78.0,0.03763531378731424,False
humanoid,MATPG,SAC,0.0,0.00018267179110955002,True
