Env_Name,Model_ID,Algorithm,Seed,Average_Reward
InvertedDoublePendulum-v4,InvDoubPend_ppo,ppo,0,9359.503108453751
InvertedDoublePendulum-v4,InvDoubPend_ppo,ppo,1,7225.216445779801
InvertedDoublePendulum-v4,InvDoubPend_ppo,ppo,2,890.6827063083649
InvertedDoublePendulum-v4,InvDoubPend_ppo,ppo,3,3560.9342302799223
InvertedDoublePendulum-v4,InvDoubPend_ppo,ppo,4,9359.65712776184
InvertedDoublePendulum-v4,InvDoubPend_ppo,ppo,5,9358.896872377396
InvertedDoublePendulum-v4,InvDoubPend_ppo,ppo,6,9359.48329963684
InvertedDoublePendulum-v4,InvDoubPend_ppo,ppo,7,9318.940423679353
InvertedDoublePendulum-v4,InvDoubPend_ppo,ppo,8,1122.852437543869
InvertedDoublePendulum-v4,InvDoubPend_ppo,ppo,9,7574.585127210617
InvertedDoublePendulum-v4,InvDoubPend_sac,sac,0,9346.804977989197
InvertedDoublePendulum-v4,InvDoubPend_sac,sac,1,9343.81447033882
InvertedDoublePendulum-v4,InvDoubPend_sac,sac,2,9346.079035806655
InvertedDoublePendulum-v4,InvDoubPend_sac,sac,3,9343.656856107711
InvertedDoublePendulum-v4,InvDoubPend_sac,sac,4,9352.397917175293
InvertedDoublePendulum-v4,InvDoubPend_sac,sac,5,9348.431208515167
InvertedDoublePendulum-v4,InvDoubPend_sac,sac,6,9347.978610229493
InvertedDoublePendulum-v4,InvDoubPend_sac,sac,7,9353.368567943573
InvertedDoublePendulum-v4,InvDoubPend_sac,sac,8,9346.523507118225
InvertedDoublePendulum-v4,InvDoubPend_sac,sac,9,9348.348529815674
Hopper-v4,Hopper_ppo,ppo,0,1713.5722342789172
Hopper-v4,Hopper_ppo,ppo,1,1966.9598010540008
Hopper-v4,Hopper_ppo,ppo,2,1879.8842046886682
Hopper-v4,Hopper_ppo,ppo,3,1907.4964781522751
Hopper-v4,Hopper_ppo,ppo,4,2444.4268678307535
Hopper-v4,Hopper_ppo,ppo,5,1869.9835380911827
Hopper-v4,Hopper_ppo,ppo,6,1362.1398922473193
Hopper-v4,Hopper_ppo,ppo,7,1417.9812621593476
Hopper-v4,Hopper_ppo,ppo,8,1205.6960405230523
Hopper-v4,Hopper_ppo,ppo,9,1887.7517727673053
Hopper-v4,Hopper_sac,sac,0,1044.1278551608325
Hopper-v4,Hopper_sac,sac,1,2073.7438583523035
Hopper-v4,Hopper_sac,sac,2,3013.9941166609524
Hopper-v4,Hopper_sac,sac,3,1477.7998173356057
Hopper-v4,Hopper_sac,sac,4,2023.7543243229388
Hopper-v4,Hopper_sac,sac,5,3308.906071060896
Hopper-v4,Hopper_sac,sac,6,1193.464006307721
Hopper-v4,Hopper_sac,sac,7,1994.2223080962897
Hopper-v4,Hopper_sac,sac,8,3034.772824469209
Hopper-v4,Hopper_sac,sac,9,3229.6169844716787
HalfCheetah-v4,HalfCheetah_ppo,ppo,0,1823.1766232578946
HalfCheetah-v4,HalfCheetah_ppo,ppo,1,1797.8961716041638
HalfCheetah-v4,HalfCheetah_ppo,ppo,2,1738.9434248471516
HalfCheetah-v4,HalfCheetah_ppo,ppo,3,1866.5936647130197
HalfCheetah-v4,HalfCheetah_ppo,ppo,4,1805.5929003216795
HalfCheetah-v4,HalfCheetah_ppo,ppo,5,1818.853760759203
HalfCheetah-v4,HalfCheetah_ppo,ppo,6,1597.9652597891284
HalfCheetah-v4,HalfCheetah_ppo,ppo,7,3094.9362720522745
HalfCheetah-v4,HalfCheetah_ppo,ppo,8,1910.692683456928
HalfCheetah-v4,HalfCheetah_ppo,ppo,9,1859.2530949499312
HalfCheetah-v4,HalfCheetah_sac,sac,0,7403.841537641548
HalfCheetah-v4,HalfCheetah_sac,sac,1,8659.099150951588
HalfCheetah-v4,HalfCheetah_sac,sac,2,2043.2198709894715
HalfCheetah-v4,HalfCheetah_sac,sac,3,5745.086417682376
HalfCheetah-v4,HalfCheetah_sac,sac,4,6481.508321970841
HalfCheetah-v4,HalfCheetah_sac,sac,5,6010.32408996895
HalfCheetah-v4,HalfCheetah_sac,sac,6,1904.0987482963653
HalfCheetah-v4,HalfCheetah_sac,sac,7,1821.0175934729268
HalfCheetah-v4,HalfCheetah_sac,sac,8,5673.14130198581
HalfCheetah-v4,HalfCheetah_sac,sac,9,7580.704226187617
Walker2d-v4,Walker2d_ppo,ppo,0,3226.7342692166567
Walker2d-v4,Walker2d_ppo,ppo,1,478.230696195364
Walker2d-v4,Walker2d_ppo,ppo,2,4124.725275054574
Walker2d-v4,Walker2d_ppo,ppo,3,4488.4607364833355
Walker2d-v4,Walker2d_ppo,ppo,4,762.3473511487246
Walker2d-v4,Walker2d_ppo,ppo,5,1239.091882121563
Walker2d-v4,Walker2d_ppo,ppo,6,4452.9948929905895
Walker2d-v4,Walker2d_ppo,ppo,7,4566.03332130909
Walker2d-v4,Walker2d_ppo,ppo,8,2697.6529005646707
Walker2d-v4,Walker2d_ppo,ppo,9,3912.823298278451
Walker2d-v4,Walker2d_sac,sac,0,3463.3853378222557
Walker2d-v4,Walker2d_sac,sac,1,1488.8168809126043
Walker2d-v4,Walker2d_sac,sac,2,3649.9788242056966
Walker2d-v4,Walker2d_sac,sac,3,2364.4738736242057
Walker2d-v4,Walker2d_sac,sac,4,3867.7397226562025
Walker2d-v4,Walker2d_sac,sac,5,3769.43207680434
Walker2d-v4,Walker2d_sac,sac,6,2921.253864416181
Walker2d-v4,Walker2d_sac,sac,7,1285.3362402984872
Walker2d-v4,Walker2d_sac,sac,8,2551.6799020149892
Walker2d-v4,Walker2d_sac,sac,9,3681.4634311789646
Ant-v4,Ant_ppo,ppo,0,5911.371314107021
Ant-v4,Ant_ppo,ppo,1,5462.9743680841875
Ant-v4,Ant_ppo,ppo,2,5346.3975872140845
Ant-v4,Ant_ppo,ppo,3,3921.343764298188
Ant-v4,Ant_ppo,ppo,4,4918.894451290369
Ant-v4,Ant_ppo,ppo,5,5901.6705402277175
Ant-v4,Ant_ppo,ppo,6,5256.904568189685
Ant-v4,Ant_ppo,ppo,7,4831.73208315149
Ant-v4,Ant_ppo,ppo,8,3798.030524785293
Ant-v4,Ant_ppo,ppo,9,5134.920511543099
Ant-v4,Ant_sac,sac,0,2769.3954121266956
Ant-v4,Ant_sac,sac,1,4408.462085430592
Ant-v4,Ant_sac,sac,2,5020.375687570382
Ant-v4,Ant_sac,sac,3,3925.157027820556
Ant-v4,Ant_sac,sac,4,5227.441706787771
Ant-v4,Ant_sac,sac,5,2549.5888481663424
Ant-v4,Ant_sac,sac,6,3091.5116338952676
Ant-v4,Ant_sac,sac,7,5341.295685257874
Ant-v4,Ant_sac,sac,8,4940.622588619403
Ant-v4,Ant_sac,sac,9,5259.641042309068
Humanoid-v4,Humanoid_sac,sac,0,6194.079483675957
Humanoid-v4,Humanoid_sac,sac,1,6843.862587356567
Humanoid-v4,Humanoid_sac,sac,2,5873.948805749416
Humanoid-v4,Humanoid_sac,sac,3,7135.293257212639
